isan,title,genre_id,release_year,poster,trailer,summary
0000-0000-54C4-0000-M-0000-0000-8,Bottle Rocket,7,1996,0000-0000-54C4-0000-M-0000-0000-8.jpg,https://www.youtube.com/watch?v=JJPQ-NnjZR0,"A peine sorti de l'hôpital où il était traité pour dépression, Anthony rejoint son ami Dignan. Les deux hommes imaginent un plan de casse."
0000-0001-096B-0000-E-0000-0000-W,La Famille Tenenbaum,7,2001,0000-0001-096B-0000-E-0000-0000-W.jpg,https://www.youtube.com/watch?v=caMgokYWboU,"Chez les Tenenbaum, les enfants ont toujours été des génies. Tout jeunes, Chas était déjà un maître de la finance, Margot une dramaturge exceptionnelle et Richie un joueur de tennis hors pair. Mais un jour, Etheline, leur mère, demande le divorce. Elle ne supporte plus le caractère égoïste de Royal Tenenbaum, son mari. Cette crise familiale a une influence négative sur le développement personnel de leurs progénitures.Vingt ans plus tard, Royal écume les palaces, Etheline s'adonne à l'archéologie, Chas tente d'élever ses deux fils après la mort de son épouse, Richie est un champion déchu et Margot s'est marié avec un psy. Le père Tenenbaum annonce bientôt à ses enfants qu'il ne lui reste plus longtemps à vivre. Il souhaite se réconcilier avec eux et s'invite dans la maison familiale en prétextant une grave maladie."
0000-0000-2421-0000-9-0000-0000-A,Rushmore,7,1998,0000-0000-2421-0000-9-0000-0000-A.jpg,https://www.youtube.com/watch?v=6ZVdXXG3KN8,"Les mésaventures de Max Fischer, élève de la Rushmore Academy. Personnage hors normes, génie fougueux et brouillon, Max ne peut fournir qu'un minimum d'efforts à ses études et s'est résigné à devenir l'un des pires cancres de son établissement. En dépit de ses échecs scolaires et des admonestations répétées de son directeur, Rushmore n'en reste pas moins à ses yeux un paradis et un sanctuaire idéal pour exercer en toute liberté son inlassable créativité."
0000-0001-0692-0000-N-0000-0000-5,La Vie aquatique,7,2004,0000-0001-0692-0000-N-0000-0000-5.jpg,https://www.youtube.com/watch?v=UpU0DZXTGA0,"Steve Z., le chef de l'équipe océanographique ""Team Zissou"", sait que l'expédition qu'il conduit est sans doute la dernière, et son plus cher désir est de graver son nom dans l'Histoire. Parmi les membres de son équipe figurent Ned Plimpton, qui est peut-être - ou peut-être pas - son fils, Jane Winslett-Richardson, une journaliste enceinte dépêchée par le magazine Oceanographic Explorer, et Eleanor, sa femme, que l'on prétend être ""le cerveau de la Team Zissou"". Tandis qu'ils affrontent tous les dangers, depuis une mutinerie jusqu'à l'attaque de pirates en passant par un ""requin jaguar"" plus ou moins imaginaire, Zissou est bien forcé d'admettre que tout ne peut pas être planifié comme il l'aimerait."
0000-0001-AAC8-0000-I-0000-0000-K,A bord du Darjeeling Limited,7,2007,0000-0001-AAC8-0000-I-0000-0000-K.jpg,https://www.youtube.com/watch?v=B2R7O2IlndM,"Trois frères qui ne se sont pas parlé depuis la mort de leur père décident de faire ensemble un grand voyage en train à travers l'Inde afin de renouer les liens d'autrefois. Pourtant, la ""quête spirituelle"" de Francis, Peter et Jack va vite dérailler, et ils se retrouvent seuls, perdus au milieu du désert avec onze valises, une imprimante, une machine à plastifier et beaucoup de comptes à régler avec la vie... Dans ce pays magique dont ils ignorent tout, c'est alors un autre voyage qui commence, riche en imprévus, une odyssée qu'aucun d'eux ne pouvait imaginer, une véritable aventure d'amitié et de fraternité."
0000-0001-DB1F-0000-9-0000-0000-A,Fantastic Mr. Fox,24,2009,0000-0001-DB1F-0000-9-0000-0000-A.jpg,https://www.youtube.com/watch?v=n2igjYFojUo,"M. Fox, le plus rusé des voleurs de poules, sa femme, Mme Fox, Ash, son fils, le cousin Kristofferson et tous les autres animaux de la forêt défient trois odieux fermiers. Ils vont vivre la plus périlleuse et délirante des aventures."
0000-0003-38AA-0000-N-0000-0000-5 ,Moonrise Kingdom,7,2012,0000-0003-38AA-0000-N-0000-0000-5.jpg,https://www.youtube.com/watch?v=0t-LTyKcAq0,"Sur une île au large de la Nouvelle-Angleterre, au coeur de l’été 1965, Suzy et Sam, douze ans, tombent amoureux, concluent un pacte secret et s’enfuient ensemble. Alors que chacun se mobilise pour les retrouver, une violente tempête s’approche des côtes et va bouleverser davantage encore la vie de la communauté."
0000-0003-C1F5-0000-0-0000-0000-3,The Grand Budapest Hotel,7,2014,0000-0003-C1F5-0000-0-0000-0000-3.jpg,https://www.youtube.com/watch?v=JN5sqSEXxm4,"Le film retrace les aventures de Gustave H, l’homme aux clés d’or d’un célèbre hôtel européen de l’entre-deux-guerres et du garçon d’étage Zéro Moustafa, son allié le plus fidèle. La recherche d’un tableau volé, oeuvre inestimable datant de la Renaissance et un conflit autour d’un important héritage familial forment la trame de cette histoire au coeur de la vieille Europe en pleine mutation."
0000-0004-C059-0000-G-0000-0000-Q ,L’île aux chiens,24,2018,0000-0004-C059-0000-G-0000-0000-Q.jpg,https://www.youtube.com/watch?v=YiBMvLEYC4o,"Lorsqu’une épidémie de grippe canine envahit la ville japonaise de Megasaki et menace de contaminer les hommes, le maire ordonne la mise en quarantaine de tous les chiens. L’île poubelle devient : l’île aux Chiens. Un jeune garçon de 12 ans, Atari, se rend sur place à la recherche de son chien perdu, Spots. C’est alors qu’il fait la découverte, à l’aide d’une meute de cinq chiens, d’une conspiration qui menace la ville."
0000-0005-E228-0000-X-0000-0000-C ,The French Dispatch,7,2021,0000-0005-E228-0000-X-0000-0000-C.jpg,https://www.youtube.com/watch?v=JtqVQEdrySI,"Le journal américain The Evening Sun de Liberty dans le Kansas possède une antenne nommée The French Dispatch à Ennui-sur-Blasé, une ville française fictive évoquant Paris dans les années 1950-60. Arthur Howitzer Jr., le rédacteur en chef du French Dispatch, meurt subitement d'une crise cardiaque. Selon les souhaits exprimés dans son testament, la publication du journal est immédiatement suspendue après un dernier numéro d'adieu, dans lequel trois articles des éditions précédentes du journal sont republiés, ainsi qu'une nécrologie : Les trois articles traitent de Moses Rosenthaler, un détenu psychopathe qui se révèle être un grand artiste peintre, des évènements de Mai 68 et enfin d'une enquête gastronomique qui vire au polar."
